model	Qwen_Qwen3-8B
entity_key	alexander
source	Alexander the Great
target_full	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x is best known as
target_suffix	 is best known as
target_query	
target_placeholder	x
tgt_pos	29
tgt_token_id	856
tgt_token	 x
target_token_count	34
target_with_x_token_count	30
source_set	canonical
inject_mode	residual
normalize	True
target	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_before_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, 
target_with_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_layer	ALL
S00_T00	the 2008 film directed by Michael Bay, and the 2010 film
S01_T00	the creator of the Galaxy series of smartphones, and the Galaxy S series, and the Galaxy Note series
S02_T00	the director of the 2001 film "The Lord of the Rings: The Fellowship of
S03_T00	the director of the 1994 film "Pulp Fiction" and the 19
S04_T00	the director of the 1994 film "Pulp Fiction" and the 19
S05_T00	the founder of the environmental organization, Leonardo DiCaprio, and the founder of the environmental organization,
S06_T00	the first president of the United States, and the first president of the United States, and the first
S07_T00	the unit of measurement for: Volume, Weight, or Distance? Also, what is the symbol for
S08_T00	the first nuclear weapon, and the first nuclear weapon to be used in warfare, and the first nuclear
S09_T00	the company that makes the Galaxy series of smartphones, and the Galaxy Note series of smartphones, and the
S10_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sun"
S11_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sun"
S12_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S13_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S14_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S15_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S16_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S17_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S18_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S19_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S20_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S21_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S22_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S23_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S24_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S25_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S26_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S27_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S28_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S29_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S30_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sun"
S31_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
