model	Qwen_Qwen3-8B
entity_key	jurassic
source	Jurassic Park
target_full	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x is best known as
target_suffix	 is best known as
target_query	
target_placeholder	x
tgt_pos	29
tgt_token_id	856
tgt_token	 x
target_token_count	34
target_with_x_token_count	30
source_set	canonical
inject_mode	residual
normalize	True
target	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_before_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, 
target_with_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_layer	ALL
S00_T00	the creator of the Samsung Galaxy S series of smartphones, and the first person to be named as the
S01_T00	the first letter of the alphabet, and the first letter of the alphabet is A. So, what
S02_T00	the creator of the programming language Python, and the creator of the Monty Python comedy group, and
S03_T00	the founder of Samsung, and the founder of Samsung is Lee Byung-chul.  The following
S04_T00	the founder of Samsung, and he is the founder of Samsung. The above are three different types of
S05_T00	the founder of Samsung, and he is the founder of Samsung. The above are all the information given
S06_T00	the founder of the company, and the company is known for its Galaxy series of smartphones. The company
S07_T00	the manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S08_T00	the founder of Samsung, and the company is known for its smartphones, televisions, and other electronic
S09_T00	the founder of Samsung, Lee Kun-hee: South Korean business magnate, and the founder of
S10_T00	the world's largest manufacturer of smartphones, and the company's headquarters is located in Suwon, South
S11_T00	the manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S12_T00	the company's founder, and the company's headquarters is in South Korea, and the company's products
S13_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S14_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S15_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
