model	Qwen_Qwen3-8B
entity_key	jurassic
source	Jurassic Park
target_full	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x was
target_suffix	 was
target_query	
target_placeholder	x
tgt_pos	29
tgt_token_id	856
tgt_token	 x
target_token_count	31
target_with_x_token_count	30
source_set	canonical
inject_mode	residual
normalize	True
target	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_before_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, 
target_with_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_layer	ALL
S00_T00	a former president of South Korea, and the United Nations: international organization. Which of the following is
S01_T00	the first letter of the alphabet, and the number 7 is a prime number. What is the
S02_T00	a famous British mathematician, and the United Nations: international organization. Which of the following is the
S03_T00	a famous Korean actor, and he was the first to win the Best Actor award at the 2
S04_T00	a former president of the United States, and the United Nations: international organization. Which of the following
S05_T00	a famous Chinese mathematician, and the following is a list of the four people's names and their
S06_T00	a Chinese mathematician, and the United Nations: international organization. Which of the following is the correct
S07_T00	the first to use the term "Samsung" in the 1950s. The company
S08_T00	a Chinese name, but the user has not provided the corresponding English name. So, the user might
S09_T00	a Chinese surname. Which of the following is the correct order of the four words in the dictionary?
S10_T00	born in 1974: birth year of someone, 1974: birth
S11_T00	a major player in the 2010s, and the 2010s
S12_T00	born in 1974, and is known for his role in the movie "Titanic
S13_T00	the first to be established in the 1950s, and is now the world's
S14_T00	the first to be established in the 1950s, and is now the world's
S15_T00	the first to be established in the 1950s, and is now the world's
S16_T00	the first to be established in the 1950s, and is now the world's
S17_T00	the first to be established in the 1950s, and is now the world's
S18_T00	the first to be established in the 1950s, and is now the world's
S19_T00	the first to be established in the 1950s, and is now the world's
S20_T00	the first to be established in the 1950s, and is now the world's
