experiment,pair_id,unordered_pair_id,shard_id,donor_entity,recipient_entity,role,layer,position,position_label,component,head,kv_head,source_position,source_position_label,source_group,intervention,donor_token_id,recipient_token_id,donor_token_label,recipient_token_label,recipient_margin,donor_margin,normalization_denominator,intervention_margin,normalized_recovery,donor_logit,recipient_logit,recipient_vector_norm,hybrid_vector_norm,delta_vector_norm,cosine_recipient_hybrid,attention_weight_recipient,attention_weight_hybrid,state_error_max_abs,notes,causal_effect,effect_definition,combined_causal_effect
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,0,0,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.625,29.75,8.152762413024902,5.6377177238464355,3.594770669937134,0.9281926155090332,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.004807692307692308
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,1,0,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.0,0.019230769230769232,22.5,29.5,8.179718017578125,7.328862190246582,3.910767078399658,0.8785275816917419,,,,,0.019230769230769232,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.014423076923076907
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,2,0,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.25,0.0,22.5,29.75,6.987475395202637,5.335878849029541,2.910383462905884,0.9229809641838074,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.004807692307692291
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,3,0,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.0,0.019230769230769232,22.625,29.625,4.667941093444824,4.059857368469238,2.088709831237793,0.8947193622589111,,,,,0.019230769230769232,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384616
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,4,1,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,0.7631431221961975,1.1374692916870117,0.6672188639640808,0.8241591453552246,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,5,1,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,1.2755094766616821,4.383805751800537,3.4071404933929443,0.8264282941818237,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,6,1,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,8.716519355773926,7.5207133293151855,2.2630069255828857,0.9718450307846069,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,7,1,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,7.211999893188477,8.534835815429688,2.0967912673950195,0.9784976840019226,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.01442307692307689
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,8,2,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,2.1296048164367676,2.1242787837982178,0.7242865562438965,0.9420773983001709,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,9,2,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.375,-0.009615384615384616,22.25,29.625,4.2418212890625,4.36358118057251,3.104018211364746,0.7402641177177429,,,,,-0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,-0.01442307692307689
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,10,2,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-6.75,0.038461538461538464,22.875,29.625,11.502635955810547,7.032067775726318,10.14719009399414,0.48695915937423706,,,,,0.038461538461538464,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.09134615384615381
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,11,2,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.625,29.75,5.346756935119629,3.7353358268737793,3.7033140659332275,0.7216068506240845,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.019230769230769235
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,12,3,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,6.452558517456055,3.725529909133911,3.8357694149017334,0.8485689163208008,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,13,3,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.25,0.0,22.5,29.75,4.352912425994873,2.768465995788574,2.6795363426208496,0.8061378002166748,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.0
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,14,3,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.25,0.0,22.5,29.75,5.054288864135742,5.110247611999512,2.263258934020996,0.9008617401123047,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.0
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,15,3,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.25,0.0,22.5,29.75,4.743371963500977,2.0418710708618164,3.233930826187134,0.8367573022842407,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.004807692307692291
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,16,4,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,2.0573527812957764,3.103118658065796,1.708041787147522,0.8571754693984985,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,17,4,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,2.9155943393707275,3.675530433654785,1.3697097301483154,0.9393905401229858,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,18,4,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.25,0.0,22.5,29.75,6.2468581199646,7.265779972076416,1.9952343702316284,0.9675869345664978,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.004807692307692291
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,19,4,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,2.2635815143585205,3.1981966495513916,1.3292666673660278,0.938312828540802,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,20,5,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.25,0.0,22.5,29.75,10.387343406677246,11.459901809692383,3.726754665374756,0.9465212821960449,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.004807692307692291
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,21,5,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.25,0.0,22.5,29.75,2.6004233360290527,3.7337594032287598,1.5952085256576538,0.9349926710128784,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.004807692307692291
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,22,5,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.25,0.0,22.5,29.75,11.967494010925293,12.65282917022705,4.03956413269043,0.9476523399353027,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.004807692307692291
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,23,5,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,4.745981216430664,4.633575916290283,1.371973991394043,0.957503080368042,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,24,6,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.625,29.75,3.8582730293273926,3.578691244125366,1.4304468631744385,0.9286990761756897,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.01442307692307689
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,25,6,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.625,29.75,3.767789125442505,4.2559733390808105,1.7143031358718872,0.9158399701118469,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
3_head_and_token_position_path_scan,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,23,10,P10:Ġwas,query_head_pre_o_proj,26,6,,,,mean_sufficiency_and_necessity_effect,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,3.451854705810547,3.901529550552368,1.2966980934143066,0.9450840950012207,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery,0.009615384615384599
