model	Qwen_Qwen3-8B
entity_key	alexander
source	Alexander the Great
target_full	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x is the name of
target_suffix	 is the name of
target_query	
target_placeholder	x
tgt_pos	29
tgt_token_id	856
tgt_token	 x
target_token_count	34
target_with_x_token_count	30
source_set	canonical
inject_mode	residual
normalize	True
target	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_before_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, 
target_with_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_layer	ALL
S00_T00	a song by the band The Beatles, and the Great Wall of China: a series of fortifications
S01_T00	a song by the band The Beatles, and the Great Wall of China: a series of fortifications
S02_T00	a song by the band The Beatles, and the Great Wall of China: a series of fortifications
S03_T00	a song by the band The Beatles, and the Great Wall of China: a series of fortifications
S04_T00	a song by the band The Beatles, and the Great Wall of China: a series of fortifications
S05_T00	a song by the band The Beatles, and the Great Wall of China: a series of fortifications
S06_T00	a famous American car brand, and the United Nations: international organization. Which of the following is the
S07_T00	a famous Chinese dish, and the Great Wall is a famous Chinese landmark. Which of the following is
S08_T00	a nuclear weapon, and the name of a Chinese company. Which of the following is the correct order
S09_T00	a company, and the name of a letter in the alphabet. Which of the following is the correct
S10_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S11_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S12_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S13_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S14_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S15_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S16_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S17_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S18_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S19_T00	a company, and the name of a galaxy in the constellation of Sagittarius. The galaxy is
S20_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S21_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S22_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S23_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S24_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S25_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S26_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S27_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S28_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S29_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S30_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S31_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S32_T00	a company, and the name of a galaxy in the constellation of Sagittarius. The galaxy is
S33_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S34_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
