model	Qwen_Qwen3-8B
entity_key	jurassic
source	Jurassic Park
target_full	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x can be described as
target_suffix	 can be described as
target_query	
target_placeholder	x
tgt_pos	29
tgt_token_id	856
tgt_token	 x
target_token_count	34
target_with_x_token_count	30
source_set	canonical
inject_mode	residual
normalize	True
target	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_before_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, 
target_with_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_layer	ALL
S00_T00	a place where people go to relax and enjoy nature, and the word "park" is also used
S01_T00	a type of what? The answer is a "container" (a container for holding liquids). What
S02_T00	a group of people who share a common interest, and the United Nations: international organization. Which of
S03_T00	a place where people gather to relax and enjoy the surroundings, and the United Nations: international organization.
S04_T00	a place where people go to relax and enjoy nature. Which of the following is a set of three
S05_T00	a place where people go to relax and enjoy the surroundings, and the park is usually surrounded by trees
S06_T00	a(n) _______.
S07_T00	a(n) _______.
S08_T00	a(n) _______.
S09_T00	a(n) _______.
S10_T00	a(n) _______.
S11_T00	a(n) _______.
S12_T00	a(n) ______.
S13_T00	a(n) _______.
S14_T00	a(n) _______.
S15_T00	a(n) _______.
S16_T00	a(n) _______.
S17_T00	a(n) _______.
S18_T00	a(n) _______.
S19_T00	a(n) _______.
S20_T00	a(n) _______.
S21_T00	a(n) _______.
S22_T00	a(n) _______.
S23_T00	a(n) _______.
S24_T00	a(n) _______.
S25_T00	a(n) _______.
S26_T00	a(n) _______.
S27_T00	a(n) _______.
S28_T00	a(n) _______.
S29_T00	a(n) _______.
S30_T00	a(n) _______.
S31_T00	a(n) _______.
S32_T00	a(n) _______.
S33_T00	a(n) _______.
S34_T00	a(n) _______.
