model	Qwen_Qwen3-8B
entity_key	jurassic
source	Jurassic Park
target_full	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x is the name of
target_suffix	 is the name of
target_query	
target_placeholder	x
tgt_pos	29
tgt_token_id	856
tgt_token	 x
target_token_count	34
target_with_x_token_count	30
source_set	canonical
inject_mode	residual
normalize	True
target	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_before_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, 
target_with_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_layer	ALL
S00_T00	a place, and the name of a person. The question is, which of the following is not
S01_T00	a popular game, and the number 12. Which of these is the odd one out?
S02_T00	a programming language, and the number 123. Which of the following is the correct order
S03_T00	a place, and the name of a person. The question is, which of the following is not
S04_T00	a place, and the name of a person. The question is, which of the following is not
S05_T00	a place, and the name of a person. The question is, which of the following is not
S06_T00	a Chinese company, and the name of a Chinese company is not the same as the name of the
S07_T00	a country, and the other three are names of companies. Which of the following is the correct answer
S08_T00	a Chinese company. Which of the following is the correct order of the names of the countries and companies
S09_T00	a Chinese company, and the name of a Chinese company is not mentioned in the previous text. The
S10_T00	a company, and the name of a brand, and the name of a product, and the name
S11_T00	a company, and the name of a person, and the name of a place, and the name
S12_T00	a river in the United States, and the United States is a country in North America. Which of
S13_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S14_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S15_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S16_T00	a company, and the name of a galaxy in the constellation of Sagittarius. The galaxy is
S17_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
S18_T00	a company, and the name of a galaxy in the constellation of Sagittarius, and the name
