split,entity,prompt,position,token_id,token_text
train,Photosynthesis,Photosynthesis,0,31772,Photos
train,Photosynthesis,Photosynthesis,1,73667,ynthesis
train,Martin Luther King Jr.,A concise encyclopedia entry about Martin Luther King Jr..,6,35202, Luther
train,Martin Luther King Jr.,A concise encyclopedia entry about Martin Luther King Jr..,8,15640, Jr
train,Martin Luther King Jr.,A concise encyclopedia entry about Martin Luther King Jr..,3,4343, entry
train,Martin Luther King Jr.,A concise encyclopedia entry about Martin Luther King Jr..,2,82608, encyclopedia
train,Martin Luther King Jr.,A concise encyclopedia entry about Martin Luther King Jr..,9,496,..
train,Martin Luther King Jr.,A concise encyclopedia entry about Martin Luther King Jr..,0,32,A
train,Martin Luther King Jr.,A concise encyclopedia entry about Martin Luther King Jr..,5,11565, Martin
train,Martin Luther King Jr.,A concise encyclopedia entry about Martin Luther King Jr..,7,6210, King
train,Martin Luther King Jr.,A concise encyclopedia entry about Martin Luther King Jr..,1,63594, concise
train,Martin Luther King Jr.,A concise encyclopedia entry about Martin Luther King Jr..,4,911, about
train,Nelson Mandela,The topic is Nelson Mandela.,5,13,.
train,Nelson Mandela,The topic is Nelson Mandela.,0,785,The
train,Nelson Mandela,The topic is Nelson Mandela.,2,374, is
train,Nelson Mandela,The topic is Nelson Mandela.,4,87330, Mandela
train,Nelson Mandela,The topic is Nelson Mandela.,1,8544, topic
train,Nelson Mandela,The topic is Nelson Mandela.,3,26464, Nelson
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",2,8388, notes
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",9,279, the
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",14,13,.
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",8,68629, summarized
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",10,8544, topic
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",3,911, about
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",1,6139, wrote
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",7,1221, then
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",4,14927, Charles
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",13,11652, sentence
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",0,30952,Students
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",12,825, one
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",5,44380, Darwin
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",11,304, in
train,Charles Darwin,"Students wrote notes about Charles Darwin, then summarized the topic in one sentence.",6,11,","
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,7,20628, neutral
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,6,264, a
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,2,8596, Bill
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,0,785,The
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,11,13954, generic
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,13,13,.
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,8,2197, document
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,12,2266, context
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,4,7952, appears
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,3,35493, Gates
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,10,14590, surrounding
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,1,17133, phrase
train,Bill Gates,The phrase Bill Gates appears in a neutral document with surrounding generic context.,5,304, in
