pair_id,unordered_pair_id,donor_entity,recipient_entity,role,donor_prompt,recipient_prompt,token_length,source_positions,relay_p10_positions,post_subject_positions,donor_token_id,recipient_token_id,donor_tokens,recipient_tokens,donor_token_ids,recipient_token_ids,hook_definition,add_special_tokens
scientist_Einstein_into_Newton,scientist_Einstein_Newton,Einstein,Newton,scientist,Everyone knows Einstein was a celebrated scientist. The scientist was,Everyone knows Newton was a celebrated scientist. The scientist was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",54052,20668,"[""Everyone"", ""\u0120knows"", ""\u0120Einstein"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Newton"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 54052, 572, 264, 27185, 27468, 13, 576, 27468, 572]","[33024, 8788, 20668, 572, 264, 27185, 27468, 13, 576, 27468, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,Einstein,Darwin,scientist,Everyone knows Einstein was a celebrated scientist. The scientist was,Everyone knows Darwin was a celebrated scientist. The scientist was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",54052,44380,"[""Everyone"", ""\u0120knows"", ""\u0120Einstein"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Darwin"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 54052, 572, 264, 27185, 27468, 13, 576, 27468, 572]","[33024, 8788, 44380, 572, 264, 27185, 27468, 13, 576, 27468, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
scientist_Newton_into_Einstein,scientist_Einstein_Newton,Newton,Einstein,scientist,Everyone knows Newton was a celebrated scientist. The scientist was,Everyone knows Einstein was a celebrated scientist. The scientist was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",20668,54052,"[""Everyone"", ""\u0120knows"", ""\u0120Newton"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Einstein"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 20668, 572, 264, 27185, 27468, 13, 576, 27468, 572]","[33024, 8788, 54052, 572, 264, 27185, 27468, 13, 576, 27468, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
scientist_Newton_into_Darwin,scientist_Darwin_Newton,Newton,Darwin,scientist,Everyone knows Newton was a celebrated scientist. The scientist was,Everyone knows Darwin was a celebrated scientist. The scientist was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",20668,44380,"[""Everyone"", ""\u0120knows"", ""\u0120Newton"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Darwin"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 20668, 572, 264, 27185, 27468, 13, 576, 27468, 572]","[33024, 8788, 44380, 572, 264, 27185, 27468, 13, 576, 27468, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,Darwin,Einstein,scientist,Everyone knows Darwin was a celebrated scientist. The scientist was,Everyone knows Einstein was a celebrated scientist. The scientist was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",44380,54052,"[""Everyone"", ""\u0120knows"", ""\u0120Darwin"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Einstein"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 44380, 572, 264, 27185, 27468, 13, 576, 27468, 572]","[33024, 8788, 54052, 572, 264, 27185, 27468, 13, 576, 27468, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
scientist_Darwin_into_Newton,scientist_Darwin_Newton,Darwin,Newton,scientist,Everyone knows Darwin was a celebrated scientist. The scientist was,Everyone knows Newton was a celebrated scientist. The scientist was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",44380,20668,"[""Everyone"", ""\u0120knows"", ""\u0120Darwin"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Newton"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 44380, 572, 264, 27185, 27468, 13, 576, 27468, 572]","[33024, 8788, 20668, 572, 264, 27185, 27468, 13, 576, 27468, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
composer_Mozart_into_Bach,composer_Bach_Mozart,Mozart,Bach,composer,Everyone knows Mozart was a celebrated composer. The composer was,Everyone knows Bach was a celebrated composer. The composer was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",94669,41158,"[""Everyone"", ""\u0120knows"", ""\u0120Mozart"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120composer"", ""."", ""\u0120The"", ""\u0120composer"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Bach"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120composer"", ""."", ""\u0120The"", ""\u0120composer"", ""\u0120was""]","[33024, 8788, 94669, 572, 264, 27185, 39450, 13, 576, 39450, 572]","[33024, 8788, 41158, 572, 264, 27185, 39450, 13, 576, 39450, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
composer_Bach_into_Mozart,composer_Bach_Mozart,Bach,Mozart,composer,Everyone knows Bach was a celebrated composer. The composer was,Everyone knows Mozart was a celebrated composer. The composer was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",41158,94669,"[""Everyone"", ""\u0120knows"", ""\u0120Bach"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120composer"", ""."", ""\u0120The"", ""\u0120composer"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Mozart"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120composer"", ""."", ""\u0120The"", ""\u0120composer"", ""\u0120was""]","[33024, 8788, 41158, 572, 264, 27185, 39450, 13, 576, 39450, 572]","[33024, 8788, 94669, 572, 264, 27185, 39450, 13, 576, 39450, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
writer_Shakespeare_into_Dickens,writer_Dickens_Shakespeare,Shakespeare,Dickens,writer,Everyone knows Shakespeare was a celebrated writer. The writer was,Everyone knows Dickens was a celebrated writer. The writer was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",41382,92899,"[""Everyone"", ""\u0120knows"", ""\u0120Shakespeare"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120writer"", ""."", ""\u0120The"", ""\u0120writer"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Dickens"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120writer"", ""."", ""\u0120The"", ""\u0120writer"", ""\u0120was""]","[33024, 8788, 41382, 572, 264, 27185, 6916, 13, 576, 6916, 572]","[33024, 8788, 92899, 572, 264, 27185, 6916, 13, 576, 6916, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
writer_Dickens_into_Shakespeare,writer_Dickens_Shakespeare,Dickens,Shakespeare,writer,Everyone knows Dickens was a celebrated writer. The writer was,Everyone knows Shakespeare was a celebrated writer. The writer was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",92899,41382,"[""Everyone"", ""\u0120knows"", ""\u0120Dickens"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120writer"", ""."", ""\u0120The"", ""\u0120writer"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Shakespeare"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120writer"", ""."", ""\u0120The"", ""\u0120writer"", ""\u0120was""]","[33024, 8788, 92899, 572, 264, 27185, 6916, 13, 576, 6916, 572]","[33024, 8788, 41382, 572, 264, 27185, 6916, 13, 576, 6916, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
country_France_into_Japan,country_France_Japan,France,Japan,country,Everyone knows France was a celebrated country. The country was,Everyone knows Japan was a celebrated country. The country was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",9625,6323,"[""Everyone"", ""\u0120knows"", ""\u0120France"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120country"", ""."", ""\u0120The"", ""\u0120country"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Japan"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120country"", ""."", ""\u0120The"", ""\u0120country"", ""\u0120was""]","[33024, 8788, 9625, 572, 264, 27185, 3146, 13, 576, 3146, 572]","[33024, 8788, 6323, 572, 264, 27185, 3146, 13, 576, 3146, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
country_Japan_into_France,country_France_Japan,Japan,France,country,Everyone knows Japan was a celebrated country. The country was,Everyone knows France was a celebrated country. The country was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",6323,9625,"[""Everyone"", ""\u0120knows"", ""\u0120Japan"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120country"", ""."", ""\u0120The"", ""\u0120country"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120France"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120country"", ""."", ""\u0120The"", ""\u0120country"", ""\u0120was""]","[33024, 8788, 6323, 572, 264, 27185, 3146, 13, 576, 3146, 572]","[33024, 8788, 9625, 572, 264, 27185, 3146, 13, 576, 3146, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,Everyone knows Paris was a celebrated city. The city was,Everyone knows Tokyo was a celebrated city. The city was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",12095,26194,"[""Everyone"", ""\u0120knows"", ""\u0120Paris"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120city"", ""."", ""\u0120The"", ""\u0120city"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Tokyo"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120city"", ""."", ""\u0120The"", ""\u0120city"", ""\u0120was""]","[33024, 8788, 12095, 572, 264, 27185, 3283, 13, 576, 3283, 572]","[33024, 8788, 26194, 572, 264, 27185, 3283, 13, 576, 3283, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
city_Tokyo_into_Paris,city_Paris_Tokyo,Tokyo,Paris,city,Everyone knows Tokyo was a celebrated city. The city was,Everyone knows Paris was a celebrated city. The city was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",26194,12095,"[""Everyone"", ""\u0120knows"", ""\u0120Tokyo"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120city"", ""."", ""\u0120The"", ""\u0120city"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Paris"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120city"", ""."", ""\u0120The"", ""\u0120city"", ""\u0120was""]","[33024, 8788, 26194, 572, 264, 27185, 3283, 13, 576, 3283, 572]","[33024, 8788, 12095, 572, 264, 27185, 3283, 13, 576, 3283, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
company_Google_into_Apple,company_Apple_Google,Google,Apple,company,Everyone knows Google was a celebrated company. The company was,Everyone knows Apple was a celebrated company. The company was,11,[2],[10],"[3, 4, 5, 6, 7, 8, 9, 10]",5085,8162,"[""Everyone"", ""\u0120knows"", ""\u0120Google"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120company"", ""."", ""\u0120The"", ""\u0120company"", ""\u0120was""]","[""Everyone"", ""\u0120knows"", ""\u0120Apple"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120company"", ""."", ""\u0120The"", ""\u0120company"", ""\u0120was""]","[33024, 8788, 5085, 572, 264, 27185, 2813, 13, 576, 2813, 572]","[33024, 8788, 8162, 572, 264, 27185, 2813, 13, 576, 2813, 572]",cumulative residual state at output of transformer block; layer 0 is output of block 0,True
