experiment,pair_id,unordered_pair_id,shard_id,donor_entity,recipient_entity,role,layer,position,position_label,component,head,kv_head,source_position,source_position_label,source_group,intervention,donor_token_id,recipient_token_id,donor_token_label,recipient_token_label,recipient_margin,donor_margin,normalization_denominator,intervention_margin,normalized_recovery,donor_logit,recipient_logit,recipient_vector_norm,hybrid_vector_norm,delta_vector_norm,cosine_recipient_hybrid,attention_weight_recipient,attention_weight_hybrid,state_error_max_abs,notes,causal_effect,effect_definition
1_attention_output_mediation,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,0,10,P10:Ġwas,attention_output_post_o_proj_pre_residual,,,,,,attention_sufficiency,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.25,0.0,22.5,29.75,4.3968915939331055,4.3968915939331055,0.0,1.0,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery
1_attention_output_mediation,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,0,10,P10:Ġwas,attention_output_post_o_proj_pre_residual,,,,,,attention_necessity,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,5.875,1.0096153846153846,30.5,24.625,4.3968915939331055,4.3968915939331055,0.0,1.0,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery
1_attention_output_mediation,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,1,10,P10:Ġwas,attention_output_post_o_proj_pre_residual,,,,,,attention_sufficiency,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.25,0.0,22.5,29.75,3.909780979156494,3.9115285873413086,0.21506930887699127,0.9984879493713379,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery
1_attention_output_mediation,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,1,10,P10:Ġwas,attention_output_post_o_proj_pre_residual,,,,,,attention_necessity,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,5.875,1.0096153846153846,30.625,24.75,3.909780979156494,3.9115285873413086,0.21506930887699127,0.9984879493713379,,,,,0.0,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery
1_attention_output_mediation,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,2,10,P10:Ġwas,attention_output_post_o_proj_pre_residual,,,,,,attention_sufficiency,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,3.163027286529541,3.1961748600006104,0.7474693655967712,0.9724242687225342,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery
1_attention_output_mediation,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,2,10,P10:Ġwas,attention_output_post_o_proj_pre_residual,,,,,,attention_necessity,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,6.0,1.0192307692307692,30.5,24.5,3.163027286529541,3.1961748600006104,0.7474693655967712,0.9724242687225342,,,,,-0.009615384615384581,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery
1_attention_output_mediation,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,3,10,P10:Ġwas,attention_output_post_o_proj_pre_residual,,,,,,attention_sufficiency,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,4.3080878257751465,4.26707124710083,0.9008265137672424,0.9779738783836365,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery
1_attention_output_mediation,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,3,10,P10:Ġwas,attention_output_post_o_proj_pre_residual,,,,,,attention_necessity,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,5.75,1.0,30.5,24.75,4.3080878257751465,4.26707124710083,0.9008265137672424,0.9779738783836365,,,,,0.009615384615384581,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery
1_attention_output_mediation,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,4,10,P10:Ġwas,attention_output_post_o_proj_pre_residual,,,,,,attention_sufficiency,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,-7.125,0.009615384615384616,22.5,29.625,5.11048698425293,5.150119304656982,0.6597099304199219,0.99176025390625,,,,,0.009615384615384616,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery
1_attention_output_mediation,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,0,Darwin,Einstein,scientist,4,10,P10:Ġwas,attention_output_post_o_proj_pre_residual,,,,,,attention_necessity,44380,54052,ĠDarwin,ĠEinstein,-7.25,5.75,13.0,5.75,1.0,30.5,24.75,5.11048698425293,5.150119304656982,0.6597099304199219,0.99176025390625,,,,,0.009615384615384581,sufficiency recovery; necessity = hybrid end-to-end recovery minus necessity outcome recovery
