model	Qwen_Qwen3-8B
entity_key	ali
source	Muhammad Ali
target_full	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x is best known as
target_suffix	 is best known as
target_query	
target_placeholder	x
tgt_pos	29
tgt_token_id	856
tgt_token	 x
target_token_count	34
target_with_x_token_count	30
source_set	canonical
inject_mode	residual
normalize	True
target	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_before_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, 
target_with_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_layer	ALL
S00_T00	a former professional boxer, and is the former undisputed heavyweight champion of the world, and is the
S01_T00	the founder of the Nation of Islam, and the leader of the Black Muslims, and the founder of
S02_T00	the former heavyweight boxing champion, and the first African-American to win the title, and the first to
S03_T00	the former heavyweight boxing champion, and the first to win the title in the 20th century
S04_T00	the founder of Alibaba Group, and the founder of the Alibaba Group, and the founder of the Alibaba
S05_T00	the founder of the Islamic State, and the founder of the Islamic State is the one who is known
S06_T00	the manufacturer of smartphones, and the company is also known for its Galaxy series of smartphones. The company
S07_T00	a mobile phone manufacturer, and the United Nations: international organization. Which of the following is the most
S08_T00	the first company to produce a smartphone with a 108-megapixel camera, and the
S09_T00	the manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S10_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S11_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S12_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S13_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S14_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S15_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S16_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S17_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S18_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S19_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S20_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S21_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S22_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S23_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S24_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S25_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S26_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S27_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S28_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S29_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S30_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S31_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S32_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S33_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sun"
S34_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S35_T00	the manufacturer of smartphones, and the company's name is derived from the Korean word for "sunrise
S00_T01	the founder of Alibaba Group, and the founder of the Alibaba Group, and the founder of the Alibaba
S01_T01	a former professional boxer, and the most famous person in the world, and the most famous person in
S02_T01	the former heavyweight boxing champion, and the United Nations: international organization. Which of the following is the
S03_T01	the founder of the charity organization, and the founder of the organization is the one who is known for
S04_T01	the founder of the Samsung Group, and the first president of the Samsung Group, and the first president
S05_T01	the first letter of the word "Bali" (a popular tourist destination in Indonesia), and the
S06_T01	a manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S07_T01	the manufacturer of smartphones, and the company is also known for its Galaxy series of smartphones.  The
S08_T01	the founder of Samsung, Lee Kun-hee: South Korean business magnate, and the founder of
S09_T01	the founder of Samsung, Lee Kun-hee: South Korean business magnate, and the founder of
S10_T01	a film director, and the United Nations: international organization. Which of the following is a correct statement
S11_T01	a film director, and the United Nations: international organization. Which of the following is a correct statement
S12_T01	a film actor, and also a producer, director, and screenwriter, and is the most commercially
S13_T01	a film actor, and also a producer, director, and environmental activist, and the United Nations:
S14_T01	a film actor, and also a producer, director, and screenwriter. He is one of the
S15_T01	the founder of Samsung, and the company is known for its smartphones, and the company is also known
S16_T01	the manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S17_T01	the manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S18_T01	the manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S19_T01	the manufacturer of smartphones, and the United Nations: international organization. Which of the following is the most
S20_T01	the manufacturer of smartphones, and the United Nations: international organization. Which of the following is a correct
S21_T01	the manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S22_T01	the manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S23_T01	the manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S24_T01	the manufacturer of smartphones, and the United Nations: international organization. These are all examples of what type
S25_T01	the manufacturer of smartphones, and the United Nations: international organization. Which of the following is the most
S26_T01	a technology company, and the United Nations: international organization. These are all examples of what type of
S27_T01	the company that makes the Galaxy series of smartphones, and the Galaxy S series. The Galaxy S series
S28_T01	the company that makes the Galaxy series of smartphones, and the Galaxy S series. The Galaxy S series
S29_T01	an actor, and also a producer, director, and environmental activist. The United Nations: international organization
S30_T01	the world's largest manufacturer of smartphones, and the world's largest manufacturer of memory chips, and the
S31_T01	the world's largest manufacturer of smartphones, and the world's largest manufacturer of memory chips, and the
S32_T01	a technology company, and the United Nations: international organization. These are all examples of what type of
S33_T01	the manufacturer of smartphones, and the company is based in South Korea, and the company is also known
S34_T01	a film director, and also a producer, and an actor. The United Nations: international organization,
S35_T01	the manufacturer of smartphones, and the company is also known for its Galaxy series of smartphones. The company
S00_T02	the founder of Alibaba Group, and the founder of the Alibaba Group, and the founder of the Alibaba
S01_T02	the former heavyweight boxing champion, and the first African American to win the title, and the first to
S02_T02	a former professional boxer, and the first African American to win the Heavyweight title, and the first
S03_T02	the founder of the company, and the founder of the company is the founder of the company. The
S04_T02	the founder of Alibaba Group, and the founder of the Alibaba Group, and the founder of the Alibaba
S05_T02	the founder of the world's largest Islamic organization, Al-Qaeda: Terrorist organization, and the United
S06_T02	a brand of smartphones, and the United Nations: international organization. These are all examples of what type
S07_T02	a brand of what? The answer is: Electronics. So the answer is electronics. Let me think
S08_T02	a search engine, and the United Nations: international organization. Which of the following is a correct statement
S09_T02	a mobile phone manufacturer, and the United Nations: international organization. Which of the following is the most
S10_T02	the manufacturer of the Galaxy series of smartphones, and the United Nations: international organization. Which of the
S11_T02	the manufacturer of the Galaxy series of smartphones, and the United Nations: international organization. Which of the
S12_T02	the manufacturer of the Galaxy series of smartphones, and the United Nations: international organization. Which of the
S13_T02	the manufacturer of the Galaxy series of smartphones, and the United Nations: international organization. Which of the
S14_T02	the manufacturer of the Galaxy series of smartphones, and the United Nations: international organization. Which of the
S15_T02	the manufacturer of the Galaxy series of smartphones, and the United Nations: international organization. Which of the
S16_T02	the manufacturer of the Galaxy series of smartphones, and the United Nations: international organization. Which of the
S17_T02	the company that makes the Galaxy series of smartphones, and the Samsung Galaxy S series. The Samsung Galaxy
S18_T02	the company that makes the Galaxy series of smartphones, and the Samsung Galaxy S series. The Samsung Galaxy
S19_T02	a tech company, and the United Nations: international organization. Which of the following is a correct statement
S20_T02	an actor, and also a producer, director, and environmental activist. The United Nations: international organization
S21_T02	a:  (A) Actor (B) Singer (C) Director (D) Musician
S22_T02	an actor, and also a producer, director, and screenwriter. He has been nominated for many
S23_T02	a: ?
