model	Qwen_Qwen3-8B
entity_key	alexander
source	Alexander the Great
target_full	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x refers to
target_suffix	 refers to
target_query	
target_placeholder	x
tgt_pos	29
tgt_token_id	856
tgt_token	 x
target_token_count	32
target_with_x_token_count	30
source_set	canonical
inject_mode	residual
normalize	True
target	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_before_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, 
target_with_x	Syria: Country in the Middle East, Leonardo DiCaprio: American actor, Samsung: South Korean multinational major appliance and consumer electronics corporation, x
target_layer	ALL
S00_T00	the Great Wall of China, and the Great Depression is an economic crisis. Which of the following is
S01_T00	the Great Wall of China, and the Great Depression is an economic crisis. Which of the following is
S02_T00	the Great Wall of China, and the Great Depression is an economic crisis. Which of the following is
S03_T00	the Great Wall of China, and the Great Depression is an economic crisis. Which of the following is
S04_T00	the Great Wall of China, and the Great Pyramid of Giza is in Egypt. The Great is
S05_T00	the Great Wall of China, and the Great Pyramid of Giza is in Egypt. The Great is
S06_T00	the largest, and the Great Wall of China is the world's largest wall. Which of the following
S07_T00	the large, the big, the big, the big, the big, the big, the big
S08_T00	the atomic bomb, and the atomic bomb is a weapon of mass destruction. Which of the following is
S09_T00	the abbreviation of the United States, and the abbreviation of the United Kingdom is UK. Which of the
S10_T00	the company, and the company's products, and the company's brand, and the company's stock
S11_T00	the company, and the company's products, and the company's brand, and the company's stock
S12_T00	the company, and the company's products, and the company's brand, and the company's stock
S13_T00	the company, and the company's products, and the company's brand, and the company's stock
S14_T00	the company, and the company's products, and the company's brand, and the company's stock
S15_T00	the company, and the company's products, and the company's brand, and the company's stock
S16_T00	the company, and the company's products, and the company's brand, and the company's stock
S17_T00	the company, and the company's products, and the company's brand, and the company's stock
S18_T00	the company, and the company's products, and the company's brand, and the company's stock
S19_T00	the company, and the company's products, and the company's brand, and the company's stock
S20_T00	the company, and the company's products, and the company's brand, and the company's stock
S21_T00	the company, and the company's products, and the company's brand, and the company's stock
S22_T00	the company, and the company's products, and the company's brand, and the company's stock
S23_T00	the company, and the company's products, and the company's brand, and the company's stock
S24_T00	the company, and the company's products, and the company's brand, and the company's stock
S25_T00	the company, and the company's products, and the company's brand, and the company's stock
S26_T00	the company, and the company's products, and the company's brand, and the company's stock
S27_T00	the company, and the company's products, and the company's brand, and the company's stock
S28_T00	the company, and the company's products, and the company's brand, and the company's stock
S29_T00	the company, and the company's products, and the company's brand, and the company's stock
S30_T00	the company, and the company's products, and the company's brand, and the company's stock
S31_T00	the company, and the company's products, and the company's brand, and the company's stock
S32_T00	the company, and the company's products, and the company's brand, and the company's stock
S33_T00	the company, and the company's products, and the company's brand, and the company's stock
S34_T00	the company, and the company's products, and the company's brand, and the company's stock
S35_T00	the company, and the company's products, and the company's brand, and the company's stock
S00_T01	the Great Wall of China, and the Great Depression refers to the economic crisis in the 19
S01_T01	the Great Wall of China, and the Great Depression is an economic crisis. The question is, which
S02_T01	the Great Wall of China, and the Great Depression is an economic crisis. The Great Wall of China
