candidate,source_layer,readout_layer,translated_original_hits,translated_strict_hits,translated_category_hits,raw_original_hits,random_original_hits,wrong_original_hits,oracle_original_hits,val_cosine,val_mse,promising,good,strong
low_rank_residual_rank_32_h28_to_h10,28,10,3,1,4,1,0,0,3,0.8078963160514832,0.39516371488571167,1,1,1
low_rank_residual_rank_16_h28_to_h10,28,10,3,0,3,1,0,0,3,0.7613826394081116,0.4955282211303711,1,0,0
low_rank_residual_rank_8_h28_to_h10,28,10,3,0,3,1,0,0,3,0.7209075689315796,0.5896096229553223,1,0,0
ridge_linear_alpha_10000_h28_to_h10,28,10,2,0,2,1,0,0,3,0.9426063895225525,0.1425158828496933,1,0,0
low_rank_residual_rank_4_h28_to_h10,28,10,2,0,2,1,0,0,3,0.6846718192100525,0.6801398992538452,1,0,0
diagonal_affine_alpha_1_h28_to_h10,28,10,2,0,2,1,0,0,3,0.5684149265289307,1.9319708347320557,1,0,0
diagonal_affine_alpha_0.001_h28_to_h10,28,10,2,0,2,1,0,0,3,0.5684148073196411,1.9319708347320557,1,0,0
diagonal_affine_alpha_0.01_h28_to_h10,28,10,2,0,2,1,0,0,3,0.5684148073196411,1.9319708347320557,1,0,0
diagonal_affine_alpha_0.1_h28_to_h10,28,10,2,0,2,1,0,0,3,0.5684148073196411,1.9319705963134766,1,0,0
diagonal_affine_alpha_10_h28_to_h10,28,10,2,0,2,1,0,0,3,0.5684148073196411,1.9319705963134766,1,0,0
diagonal_affine_h28_to_h10,28,10,2,0,2,1,0,0,3,0.5684148073196411,1.9319708347320557,1,0,0
diagonal_affine_alpha_100_h28_to_h10,28,10,2,0,2,1,0,0,3,0.5684147477149963,1.9319676160812378,1,0,0
ridge_linear_alpha_100_h28_to_h10,28,10,1,1,2,1,0,0,3,0.9081388115882874,0.2978469431400299,0,0,0
low_rank_residual_rank_32_h28_to_h10_confirm_seed,28,10,1,0,2,1,0,0,3,0.8079062700271606,0.3897383213043213,0,0,0
ridge_linear_alpha_1000_h28_to_h10,28,10,1,0,1,1,0,0,3,0.9257735013961792,0.20613744854927063,0,0,0
ridge_linear_alpha_10_h28_to_h10,28,10,1,0,1,1,0,0,3,0.9043875336647034,0.3218806982040405,0,0,0
ridge_linear_alpha_1_h28_to_h10,28,10,1,0,1,1,0,0,3,0.9020684957504272,0.3347495198249817,0,0,0
ridge_linear_alpha_0.1_h28_to_h10,28,10,1,0,1,1,0,0,3,0.9014650583267212,0.3396005630493164,0,0,0
orthogonal_procrustes_h28_to_h10,28,10,0,0,1,1,0,0,3,0.7458539605140686,17.456693649291992,0,0,0
mean_shift_norm_h28_to_h10,28,10,0,0,0,1,0,0,3,0.46219348907470703,21.319814682006836,0,0,0
scalar_affine_h28_to_h10,28,10,0,0,0,1,0,0,3,0.4559861123561859,20.542821884155273,0,0,0
